OBJECTID_1,OBJECTID,NAME,CCR,Area_sq_mi,Study_Regi,FULLNAME,Type,DFG_URL,CCR_Int,SHORTNAME,Acres,Hectares,Shape__Area,Shape__Length
76,116,Santa Barbara Island SMR,Section 632 (b) (116),12.76920122,SCSR,Santa Barbara Island State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-116,116,Santa Barbara Island,8172.32128,3307.221086,47629929.05,28163.5687
77,123,Arrow Point to Lion Head Point SMCA,Section 632 (b) (123),0.65108345,SCSR,Arrow Point to Lion Head Point State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-123,123,Arrow Point to Lion Head Point,416.6950654,168.6305102,2429504.098,14523.13025
78,124,Blue Cavern Onshore SMCA (No-Take),Section 632 (b) (124),2.61414589,SCSR,Blue Cavern Onshore State Marine Conservation Area,SMCA (No-Take),https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-124,124,Blue Cavern Onshore,1673.060023,677.0633698,9750503.207,16427.98975
79,125,Blue Cavern Offshore SMCA,Section 632 (b) (125),7.69529653,SCSR,Blue Cavern Offshore State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-125,125,Blue Cavern Offshore,4925.009362,1993.080577,28727863.05,21881.50314
80,126,Long Point SMR,Section 632 (b) (126),1.66939233,SCSR,Long Point State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-126,126,Long Point,1068.415341,432.3723485,6222255.73,12429.63427
81,127,Casino Point SMCA (No-Take),Section 632 (b) (127),0.00739836,SCSR,Casino Point State Marine Conservation Area,SMCA (No-Take),https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-127,127,Casino Point,4.73497021,1.91617446,27534.05078,819.3484352
82,128,Lover's Cove SMCA,Section 632 (b) (128),0.06059684,SCSR,Lover's Cove State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-128,128,Lover's Cove,38.78213495,15.69457319,225489.5352,2519.781448
83,129,Farnsworth Onshore SMCA,Section 632 (b) (129),2.59029159,SCSR,Farnsworth Onshore State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-129,129,Farnsworth Onshore,1657.793213,670.885111,9636904.301,14853.29528
84,130,Farnsworth Offshore SMCA,Section 632 (b) (130),6.6714869,SCSR,Farnsworth Offshore State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-130,130,Farnsworth Offshore,4269.768593,1727.914045,24820662.03,20453.79218
85,137,Batiquitos Lagoon SMCA (No-Take),Section 632 (b) (137),0.50623027,SCSR,Batiquitos Lagoon State Marine Conservation Area,SMCA (No-Take),https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-137,137,Batiquitos Lagoon,323.9886628,131.1135601,1872976.461,11770.97662
86,138,Swami's SMCA,Section 632 (b) (138),12.7079404,SCSR,Swami's State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-138,138,Swami's,8133.114197,3291.354542,46947660.33,28052.6889
87,139,San Elijo Lagoon SMCA (No-Take),Section 632 (b) (139),0.50148979,SCSR,San Elijo Lagoon State Marine Conservation Area,SMCA (No-Take),https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-139,139,San Elijo Lagoon,320.95474,129.8857751,1852075.875,18882.63841
88,140,San Dieguito Lagoon SMCA,Section 632 (b) (140),0.11313277,SCSR,San Dieguito Lagoon State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-140,140,San Dieguito Lagoon,72.4052588,29.30136866,417409.7305,3540.313645
89,141,San Diego-Scripps Coastal SMCA,Section 632 (b) (141),1.45688329,SCSR,San Diego-Scripps Coastal State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-141,141,San Diego-Scripps Coastal,932.4090126,377.3325401,5364269.563,9118.606517
90,142,Matlahuayl SMR,Section 632 (b) (142),1.03647093,SCSR,Matlahuayl State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-142,142,Matlahuayl,663.3440361,268.4458073,3814914.348,8198.313107
91,143,South La Jolla SMR,Section 632 (b) (143),5.04371253,SCSR,South La Jolla State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-143,143,South La Jolla,3227.988858,1306.320744,18546572.46,19436.87564
